label,tweets
neg,تعدل بعد تسع ساعات 😁 واضح التوتر 💔
neg,ليش تنشرون له كل نطيحه ومترديه يسوون فيديوات عبيطعه تنشرون وينشهر 👎
neg,"😤 علموا بناتكم تحقيق احلامهم قبل الزواج .. 🙆‍♀️ : يما بسوي ""اي حلم ابيه"" 👩امي : لي تزوجتي سوي اللي تبين لما تت…"
neg,"لاتتأخروا لو سمحت , إحنا جيعانين 💔"
neg,#الاهلي_الهلال اكتب توقعك لنتيجة لقاء الهلال والاهلي تحت التاق 👇 #تحدي_اسرع_روقان وادخل في سحب قيمة ايفون X على…
neg,يقالك الحين بتحشيهم 😭
neg,#اخدود_الفيض٢ فيه شخص رسل رسالة واتسب في جروب الجيران ينبه الناس بعدم نسيان #صلاة_الاستسقاء رد عليه شخص : قال انت…
neg,شت 😂😂 😲
neg,تلاتين سنة بترقص .. الليلة رقصتنا أنا ببكي 😭 دي حلاوة شديدة باخ
neg,ياريت كان موجود عشان نشوف رده الفعل دي 😩 #BEAUTIFULGOODBYE1STWIN
neg,كيفك بس بدون ضحك 😒
neg,احس اني اسعد انسانه بالدنيا والسبب كلمه :(
neg,ياربي ليش الكوكيز مايضبط معي كذا 😭
neg,ناس طيبين اوي اوي .. ليه فضحوني بس 🙈
neg,هيرو الحين 😭
neg,هذا هو حالي مع المطر أتذكرك اتخيلك ارسمك 💔 #حور
neg,"وفي بدايه اليوم حابه اقول إني وحيده جدا,واتعودت على كدا"" 💔"
neg,لاازم اييبه برمضان🤣🤣
neg,الله يعينهم 😶
neg,ياليل تعبت وانا اعلق خلق الله فيني مو قصدي والله 😔
neg,دي حقيقه 😞
neg,فنان ايطالي يقوم برسم رسومات ثلاثية الابعاد على وجهه لدرجة الواقعية المخيفة 😰 الإبداع تملكه !👌🏻
neg,القلي بالهواء الساخن VS القلي العادي مهم قبل #رمضان تاخذ فكرة عن الموضوع 🙃
neg,لا مر طيفك اضمه حيل في عيني 💔
neg,خاطري في عمرة ع رمضان لكن خلا اليدين يا معطبها 😔
neg,هااذا. رحل ❗ وهااذا. زعل ❗ وهااذا. غيرته الأيام ❗ اخبرو الجميع بأن الاصيل يبق…
neg,قرطب قلبي من نظراته لها 💔
neg,غيرك يجي و يروح واقول مسموح الا انت ما تسوى بدونك حياتي 😩 !
neg,هه ثكلتك امك يا فتى 😡
neg,انا كنت چوكر 😁 كنت بحيي العلم وبقرأ قرآن واحيانا شعر ونشيد وأحيانا كنت بمسك آله من آلات الموسيقى في الطابور أصل كان…
neg,دموعي متى ناويه تخلص 💔
neg,"ان غيبك الموت لن تغيب اعمالك الفنية ستظل شاهدة على تاريخك الكبير وخالدة في ذاكرتنا وداعا"" #محمود_الجندي 😔 إنا…"
neg,ليت الصدف تنعاد مره وثنتين مير الصدف عذروبها ماتكرر 💔
neg,مر يومين ولسى جالسلك نزلي الصوره ترا كل يوم ادخل ادور الصوره 😂😂 — 😭
neg,#عمرو_دياب_في_جده يابني آدم يامسكين مسيرك تشم الطين تدخل مكان ماله باب وينسونك الاهل والاحباب هل تعلم كلنا نذب بجها…
neg,جيهوب مشتتني هو وخلاقينه غريبه عليه😭
